Pays;Type;Metal;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Bulgarie;Production;Zinc;83000;85500;80000;78000;75000;70000;65000;66000;68000;65000;68000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Myanmar;Production;Zinc;4200;2300;1700;2645;3028;4079;3556;5382;4536;5321;2900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Zinc;1229481;1145013;1300228;1245248;1204401;1058714;1096257;1189129;1069709;1207098;1172238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chili;Production;Zinc;3174;5056;3918;1814;1847;1134;1516;5656;5993;19168;22288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Zinc;135000;135000;150000;150000;155000;150000;160000;160000;250000;300000;395000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République du Congo;Production;Zinc;4000;5100;5200;4800;;;;0;0;0;2300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slovaquie;Production;Zinc;8900;9300;9400;8800;9100;9636;6614;6555;6665;7200;7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Équateur;Production;Zinc;83;123;1229;1342;1027;629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finlande;Production;Zinc;52800;59200;61317;58861;58316;59421;58618;58865;60777;60192;60620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Production;Zinc;13810;34700;41828;39900;36583;36810;37430;37427;34493;36425;40572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Zinc;116072;115345;115638;88863;117100;120800;110700;105782;113481;113000;117600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grèce;Production;Zinc;14140;29815;18427;25600;24102;24367;25369;20459;22063;22550;21107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groenland;Production;Zinc;152000;81000;76600;82200;87100;87300;79800;79900;79200;71300;70300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honduras;Production;Zinc;26000;25000;26500;27177;22834;19559;19065;24381;38000;44480;50916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hongrie;Production;Zinc;2200;2235;2962;2827;3074;2807;2693;1538;2306;1920;1606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inde;Production;Zinc;22838;27100;35500;39300;42951;32229;34200;32000;36500;43700;53000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iran;Production;Zinc;80000;72000;61500;45000;25000;30000;35000;40000;39500;47100;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ireland;Production;Zinc;66643;62775;116298;176029;205000;223000;117000;167000;186000;206000;191700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Italie;Production;Zinc;78800;86400;79300;74000;65500;57300;42700;38600;43400;42300;45438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japon;Production;Zinc;258201;283630;275731;274629;245320;238108;242042;251356;255712;252700;253021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corée du Sud;Production;Zinc;45919;59136;68355;66440;62477;56787;56198;58175;55980;49232;45746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corée du Nord;Production;Zinc;160000;150000;150000;145000;135000;130000;130000;130000;140000;150000;185000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexique;Production;Zinc;288851;259183;265469;244892;245477;238231;211629;231910;257444;290236;275412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maroc;Production;Zinc;19000;14500;11200;5100;5680;9435;7950;12120;7890;10730;15250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Namibie;Production;Zinc;37700;26900;38300;36600;29000;25400;36400;32400;29800;29900;29897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicaragua;Production;Zinc;11177;14287;10142;3600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norvège;Production;Zinc;24004;29319;31277;29592;28361;27484;29742;31860;32356;28513;27352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Perou;Production;Zinc;364915;456000;405250;402600;432000;487596;496707;507100;553100;568300;582600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philippines;Production;Zinc;10453;11643;12442;9468;9670;6845;5289;3003;2275;2189;1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pologne;Production;Zinc;190000;180000;221000;231000;237000;216700;201500;183500;189000;190700;190900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roumanie;Production;Zinc;60000;38000;50000;51000;45000;40000;40000;37000;40000;39000;40000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afrique du sud;Production;Zinc;67300;77061;72416;68700;56500;87777;87172;91516;109981;106107;96943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Zinc;1030000;1020000;1040000;1030000;1020000;1000000;1010000;1020000;1025000;980000;1000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Production;Zinc;85297;83730;98316;146844;142745;183120;182045;167137;175757;230378;234695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suède;Production;Zinc;111325;128326;140233;167373;169854;175758;192069;178592;214367;217254;221298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thailand;Production;Zinc;5600;;;;1000;0;2900;4000;3000;27379;51228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tunisie;Production;Zinc;6355;6854;7100;7400;8700;9100;7800;8400;7500;6700;5600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turquie;Production;Zinc;25600;33900;50300;39996;24894;23342;30769;33543;32417;50423;39674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
États-Unis;Production;Zinc;425792;439543;407888;302669;267341;317103;312418;303160;296700;277500;251900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Royaume-Uni;Production;Zinc;4000;4786;7528;2718;572;4444;10855;10186;8879;7159;5043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vietnam;Production;Zinc;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Serbie;Production;Zinc;103440;106641;112383;103794;101699;95253;88640;83813;86767;85761;89347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République démocratique du Congo;Production;Zinc;77542;70298;81832;88533;78301;67596;66568;82065;73970;73955;75101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zambie;Production;Zinc;;48801;45112;50409;46492;37076;42170;51117;54634;38793;31900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Production;Aluminium;;;;;;;;;;;;150642;155107;157407;164154;165608;166290;153000;170593;173371;185457;185934;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Aluminium;;;;;;;;;;;;881910;1003947;1149000;1244000;1234000;1235000;1245000;1388000;1317000;1297000;1372000;;;;;;;;;;;;;;;;;;;;;;
Autriche;Production;Aluminium;;;;;;;;;;;;92453;93414;95494;92933;89434;80384;32866;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;Production;Aluminium;;;;;;;;;;;;;;;;;;24000;7000;10000;11000;;;;;;;;;;;;;;;;;;;;;;;
Bahrain;Production;Aluminium;;;;;;;;;;;;178194;180344;182804;186395;212500;209800;292460;450000;451903;453883;461245;;;;;;;;;;;;;;;;;;;;;;
Bosnie-Herzégovine;Production;Aluminium;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Aluminium;;;;;;;;;;;;757375;843500;873500;887432;930585;1139600;1193300;1172000;1184600;1188100;1197400;;;;;;;;;;;;;;;;;;;;;;
Cameroun;Production;Aluminium;;;;;;;;;;;;81100;71500;80000;87300;87500;85600;82500;86500;81100;79300;82300;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Aluminium;;;;;;;;;;;;1355161;1540439;1534499;1554753;1567395;1821642;1971843;2308867;2254683;2171992;2283212;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Aluminium;;;;;;;;;;;;570000;640000;713000;758300;854300;963000;1096400;1255400;1498300;1869700;1896200;;;;;;;;;;;;;;;;;;;;;;
Slovaquie;Production;Aluminium;;;;;;;;;;;;33078;32366;31435;32576;30076;49387;32670;;;;;;;;;;;;;;;;;;;;;;;;;;
Égypte;Production;Aluminium;;;;;;;;;;;;176760;179200;173460;180931;141081;177707;177838;178477;188464;180000;179200;;;;;;;;;;;;;;;;;;;;;;
France;Production;Aluminium;;;;;;;;;;;;321793;322500;327856;329253;330824;346194;423000;432000;387500;364500;380100;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Aluminium;;;;;;;;;;;;66000;67900;61200;53900;21000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Aluminium;;;;;;;;;;;;552218;792628;752927;733703;714946;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Aluminium;;;;;;;;;;;;;;;;;705033;626491;551933;504956;575200;576492;;;;;;;;;;;;;;;;;;;;;;
Ghana;Production;Aluminium;;;;;;;;;;;;124600;150300;163500;168600;174200;173400;179000;174100;140700;135400;137000;;;;;;;;;;;;;;;;;;;;;;
Grèce;Production;Aluminium;;;;;;;;;;;;126000;126751;148253;144833;152362;150878;150850;146800;144300;144430;141295;;;;;;;;;;;;;;;;;;;;;;
Hongrie;Production;Aluminium;;;;;;;;;;;;73877;73500;74692;75195;75162;63318;26857;27876;29600;34900;32000;;;;;;;;;;;;;;;;;;;;;;
Iceland;Production;Aluminium;;;;;;;;;;;;75929;83485;82034;88477;86773;88768;89478;94480;99294;100101;102096;;;;;;;;;;;;;;;;;;;;;;
Inde;Production;Aluminium;;;;;;;;;;;;257096;253372;334861;423250;433200;504284;483100;463424;476521;517806;497540;;;;;;;;;;;;;;;;;;;;;;
Indonésie;Production;Aluminium;;;;;;;;;;;;218772;201402;185112;196869;192100;174773;188772;205526;221900;228100;223100;;;;;;;;;;;;;;;;;;;;;;
Iran;Production;Aluminium;;;;;;;;;;;;40000;37821;28183;44019;94647;107743;117230;109190;120814;114879;77535;;;;;;;;;;;;;;;;;;;;;;
Italie;Production;Aluminium;;;;;;;;;;;;242632;232600;226300;219500;231800;218000;160700;155600;175600;177800;184400;;;;;;;;;;;;;;;;;;;;;;
Japon;Production;Aluminium;;;;;;;;;;;;140187;40691;35347;35014;34224;32400;18884;18263;16956;18034;16959;;;;;;;;;;;;;;;;;;;;;;
Corée du Sud;Production;Aluminium;;;;;;;;;;;;18643;16777;16101;15683;13285;13604;12000;;;;;;;;;;;;;;;;;;;;;;;;;;
Corée du Nord;Production;Aluminium;;;;;;;;;;;;10000;10000;10000;10000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexique;Production;Aluminium;;;;;;;;;;;;39946;63260;68337;71691;67515;66936;0;0;0;10413;61458;;;;;;;;;;;;;;;;;;;;;;
Mozambique;Production;Aluminium;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
Pays-Bas;Production;Aluminium;;;;;;;;;;;;265768;275939;278198;279243;257884;253563;227328;228300;230100;216000;227000;;;;;;;;;;;;;;;;;;;;;;
Nouvelle-Zélande;Production;Aluminium;;;;;;;;;;;;236332;252000;265700;258800;259700;260400;241600;277400;269100;273296;283329;;;;;;;;;;;;;;;;;;;;;;
Nigeria;Production;Aluminium;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;
Norvège;Production;Aluminium;;;;;;;;;;;;725813;853213;838224;867276;867061;858227;838133;887461;856967;846794;863327;;;;;;;;;;;;;;;;;;;;;;
Pologne;Production;Aluminium;;;;;;;;;;;;47500;47500;47700;47801;45974;45793;43628;46942;49509;50800;51500;;;;;;;;;;;;;;;;;;;;;;
Roumanie;Production;Aluminium;;;;;;;;;;;;253000;260000;266000;269100;168000;158400;111992;112360;119600;140500;140872;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Aluminium;;;;;;;;;;;;;;;;;;2725000;2819000;2668000;2789800;2873000;;;;;;;;;;;;;;;;;;;;;;
Serbie;Production;Aluminium;;;;;;;;;;;;;;;;;;;;6850;16991;37436;;;;;;;;;;;;;;;;;;;;;;
Slovaquie;Production;Aluminium;;;;;;;;;;;;;;;;;;;35000;33000;60600;115600;;;;;;;;;;;;;;;;;;;;;;
Slovenie;Production;Aluminium;;;;;;;;;;;;;;;;;;84809;82682;74300;70200;65800;;;;;;;;;;;;;;;;;;;;;;
Afrique du sud;Production;Aluminium;;;;;;;;;;;;169600;170600;170400;165900;157500;169390;172795;175867;172111;195292;569607;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Aluminium;;;;;;;;;;;;2350000;3600000;3500000;3433000;3513000;3252000;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espagne;Production;Aluminium;;;;;;;;;;;;354700;341000;293900;352400;355300;355200;359000;355900;338100;361882;361828;;;;;;;;;;;;;;;;;;;;;;
Suriname;Production;Aluminium;;;;;;;;;;;;28715;1913;9900;28600;31282;30657;32358;30112;26706;26667;26036;;;;;;;;;;;;;;;;;;;;;;
Suède;Production;Aluminium;;;;;;;;;;;;77882;79462;94711;96070;92100;96339;103297;108040;108823;92797;98974;;;;;;;;;;;;;;;;;;;;;;
Suisse;Production;Aluminium;;;;;;;;;;;;80259;73169;71816;71308;71602;65899;50794;36439;24171;20726;26594;;;;;;;;;;;;;;;;;;;;;;
Tajikistan;Production;Aluminium;;;;;;;;;;;;;;;;;;345000;253000;236500;237000;198300;;;;;;;;;;;;;;;;;;;;;;
Turquie;Production;Aluminium;;;;;;;;;;;;60017;41685;56500;58564;60902;55817;58581;58501;59700;61513;62100;;;;;;;;;;;;;;;;;;;;;;
États-Unis;Production;Aluminium;;;;;;;;;;;;3037000;3343000;3944000;4030000;4048000;4121000;4042000;3695000;3299000;3375100;3577200;;;;;;;;;;;;;;;;;;;;;;
Ukraine;Production;Aluminium;;;;;;;;;;;;;;;;;;105000;104000;102000;95100;89875;;;;;;;;;;;;;;;;;;;;;;
Émirats arabes unis;Production;Aluminium;;;;;;;;;;;;154838;155876;162500;168250;174300;239030;244600;241600;246200;247400;258500;;;;;;;;;;;;;;;;;;;;;;
Royaume-Uni;Production;Aluminium;;;;;;;;;;;;275876;294382;300166;297313;289796;293512;244163;239099;231223;237899;239963;;;;;;;;;;;;;;;;;;;;;;
Venezuela;Production;Aluminium;;;;;;;;;;;;420660;430230;443305;546022;599480;609548;567399;574626;592718;629827;634900;;;;;;;;;;;;;;;;;;;;;;
Belgique;Production;Arsenic;;;;;;;;;;;;;3500;3500;3500;3000;2500;2000;2000;2000;2000;2000;;;;;;;;;;;;;;;;;;;;;;
Bolivie;Production;Arsenic;;;;;;;;;;;;84;132;191;338;300;463;633;663;341;362;255;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Arsenic;;;;;;;;;;;;2000;5000;2825;1825;485;236;250;250;250;250;250;;;;;;;;;;;;;;;;;;;;;;
Chili;Production;Arsenic;;;;;;;;;;;;3375;5028;7292;4596;5831;6822;6016;6242;3940;2977;9368;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Arsenic;;;;;;;;;;;;;7000;7000;7000;9000;10000;15000;14000;18000;21000;15000;;;;;;;;;;;;;;;;;;;;;;
France;Production;Arsenic;;;;;;;;;;;;10000;7000;7000;7000;6500;2309;;3000;6000;5000;3000;;;;;;;;;;;;;;;;;;;;;;
Géorgie;Production;Arsenic;;;;;;;;;;;;;;;;;;;1000;500;400;400;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Arsenic;;;;;;;;;;;;360;360;360;360;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Arsenic;;;;;;;;;;;;;;;;;300;300;300;300;250;250;;;;;;;;;;;;;;;;;;;;;;
Ghana;Production;Arsenic;;;;;;;;;;;;;;;;0;500;500;902;3897;4409;5443;;;;;;;;;;;;;;;;;;;;;;
Iran;Production;Arsenic;;;;;;;;;;;;;;;;;;;;;500;400;;;;;;;;;;;;;;;;;;;;;;
Japon;Production;Arsenic;;;;;;;;;;;;500;500;500;500;500;500;50;40;40;40;40;;;;;;;;;;;;;;;;;;;;;;
Kazakhstan;Production;Arsenic;;;;;;;;;;;;;;;;;;2000;2000;1500;1568;1500;;;;;;;;;;;;;;;;;;;;;;
Mexique;Production;Arsenic;;;;;;;;;;;;7016;7001;6816;7327;6348;6497;5667;5870;5861;4778;3883;;;;;;;;;;;;;;;;;;;;;;
Namibie;Production;Arsenic;;;;;;;;;;;;2208;1864;2984;2399;1637;1804;2300;2290;2775;1661;1302;;;;;;;;;;;;;;;;;;;;;;
Perou;Production;Arsenic;;;;;;;;;;;;1273;1757;828;597;643;661;607;4415;4224;4616;4969;;;;;;;;;;;;;;;;;;;;;;
Philippines;Production;Arsenic;;;;;;;;;;;;4123;6286;5046;4652;5092;5000;5000;2000;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;Production;Arsenic;;;;;;;;;;;;197;217;214;199;247;256;133;;;;;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Arsenic;;;;;;;;;;;;;;;;;;2500;2000;1500;1500;1500;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Arsenic;;;;;;;;;;;;8100;8100;8100;8100;7800;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suède;Production;Arsenic;;;;;;;;;;;;10000;10000;10000;10000;7000;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;
États-Unis;Production;Arsenic;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albanie;Production;Chrome;;;;;;;;;;;;1159000;1072000;1109000;1101000;1011000;586700;322000;281130;222879;242998;236358;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Chrome;;;;;;;;;;;;;;;;;;;0;0;0;5500;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Chrome;;;;;;;;;;;;222990;191033;229912;270198;171081;216347;460211;240247;399977;446893;386659;;;;;;;;;;;;;;;;;;;;;;
Myanmar;Production;Chrome;;;;;;;;;;;;;;;;;;;;;;3299;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Chrome;;;;;;;;;;;;;;;;;;103000;54000;56000;198000;130200;;;;;;;;;;;;;;;;;;;;;;
Cuba;Production;Chrome;;;;;;;;;;;;50000;52400;52200;50600;50000;50000;50000;10354;20000;30693;37300;;;;;;;;;;;;;;;;;;;;;;
Finlande;Production;Chrome;;;;;;;;;;;;492094;503159;536309;573715;461277;458000;499325;516457;572747;597674;573909;;;;;;;;;;;;;;;;;;;;;;
Grèce;Production;Chrome;;;;;;;;;;;;60063;63825;49335;47324;22400;20108;0;3697;;;;;;;;;;;;;;;;;;;;;;;;;
Inde;Production;Chrome;;;;;;;;;;;;629671;623591;820863;1002659;1050000;940000;1071075;1064684;1137886;1699534;1455849;;;;;;;;;;;;;;;;;;;;;;
Indonésie;Production;Chrome;;;;;;;;;;;;;;;;;;;0;0;10000;13300;;;;;;;;;;;;;;;;;;;;;;
Iran;Production;Chrome;;;;;;;;;;;;54000;92120;60289;72628;77189;90119;130265;114780;354163;363610;322367;;;;;;;;;;;;;;;;;;;;;;
Japon;Production;Chrome;;;;;;;;;;;;10642;11815;9508;11674;8075;8000;8000;;;;;;;;;;;;;;;;;;;;;;;;;;
Kazakhstan;Production;Chrome;;;;;;;;;;;;;;;;;;3452400;2968200;2020000;2416600;1102500;;;;;;;;;;;;;;;;;;;;;;
Madagascar;Production;Chrome;;;;;;;;;;;;89300;106773;171484;165397;122276;145583;160777;144311;75000;105745;139272;;;;;;;;;;;;;;;;;;;;;;
Nouvelle-Calédonie;Production;Chrome;;;;;;;;;;;;72207;61832;70341;60281;6223;0;8169;;;;;;;;;;;;;;;;;;;;;;;;;;
Macédoine du Nord;Production;Chrome;;;;;;;;;;;;;;;;;;6000;5000;5000;5000;5000;;;;;;;;;;;;;;;;;;;;;;
Oman;Production;Chrome;;;;;;;;;;;;4820;4000;4000;12810;;;1764;10236;6166;5298;15252;;;;;;;;;;;;;;;;;;;;;;
Pakistan;Production;Chrome;;;;;;;;;;;;8299;9963;4924;27105;18191;31474;22852;44384;12410;9560;26961;;;;;;;;;;;;;;;;;;;;;;
Philippines;Production;Chrome;;;;;;;;;;;;202214;188647;170898;247705;263382;210397;113297;61464;76015;102684;118622;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Chrome;;;;;;;;;;;;;;;;;;121400;120800;143000;165000;112000;;;;;;;;;;;;;;;;;;;;;;
Afrique du sud;Production;Chrome;;;;;;;;;;;;3907473;3862000;4244632;4950854;4618000;5100299;3363481;2838044;3599472;5086053;5078000;;;;;;;;;;;;;;;;;;;;;;
Russie;Production;Chrome;;;;;;;;;;;;3640000;3570000;3700000;3800000;3800000;3800000;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soudan;Production;Chrome;;;;;;;;;;;;18000;10000;25000;30000;35000;25000;20000;11500;25000;44988;12000;;;;;;;;;;;;;;;;;;;;;;
Turquie;Production;Chrome;;;;;;;;;;;;617652;762071;851425;1415038;1089942;1720455;758700;706250;790000;1932000;1279032;;;;;;;;;;;;;;;;;;;;;;
Émirats arabes unis;Production;Chrome;;;;;;;;;;;;;;;;;;100;19000;55000;37000;56000;;;;;;;;;;;;;;;;;;;;;;
Vietnam;Production;Chrome;;;;;;;;;;;;4000;4000;2600;4000;4600;3500;3500;6900;6300;25000;37000;;;;;;;;;;;;;;;;;;;;;;
Zimbabwe;Production;Chrome;;;;;;;;;;;;553106;570298;561630;627500;562600;566200;522013;252033;516801;707433;658416;;;;;;;;;;;;;;;;;;;;;;
Albanie;Production;Cuivre;;;;;;;;;;;;15170;16227;17269;16000;12250;8000;1900;3400;2500;3650;2630;;;;;;;;;;;;;;;;;;;;;;
Algerie;Production;Cuivre;;;;;;;;;;;;200;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Production;Cuivre;;;;;;;;;;;;317;379;492;653;357;409;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenie;Production;Cuivre;;;;;;;;;;;;;;;;;;2000;500;4900;8080;9088;;;;;;;;;;;;;;;;;;;;;;
Australie;Production;Cuivre;;;;;;;;;;;;248368;232695;243800;296000;330000;320000;378000;430000;418000;379000;548000;;;;;;;;;;;;;;;;;;;;;;
Bolivie;Production;Cuivre;;;;;;;;;;;;338;;;;;;101;94;79;127;92;;;;;;;;;;;;;;;;;;;;;;
Botswana;Production;Cuivre;;;;;;;;;;;;21337;18934;24428;23403;20612;20576;20413;20132;22780;20461;23299;;;;;;;;;;;;;;;;;;;;;;
Brézil;Production;Cuivre;;;;;;;;;;;;40183;40332;44845;47439;34441;37947;39845;43568;39674;48933;46203;;;;;;;;;;;;;;;;;;;;;;
Bulgarie;Production;Cuivre;;;;;;;;;;;;70000;54000;50000;38800;32900;47200;47400;60400;75500;77400;84800;;;;;;;;;;;;;;;;;;;;;;
Myanmar;Production;Cuivre;;;;;;;;;;;;10100;10600;4700;5000;4400;5700;5000;3581;5025;5282;4841;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Cuivre;;;;;;;;;;;;698527;802181;776482;723052;793735;811134;768582;732591;616776;726293;688426;;;;;;;;;;;;;;;;;;;;;;
Chili;Production;Cuivre;;;;;;;;;;;;1401100;1418100;1451000;1609300;1588400;1814300;1932700;2055400;2219900;2488600;3115800;;;;;;;;;;;;;;;;;;;;;;
Chine;Production;Cuivre;;;;;;;;;;;;300000;350000;370000;544000;557000;304000;334300;345695;395630;441900;436400;;;;;;;;;;;;;;;;;;;;;;
Colombie;Production;Cuivre;;;;;;;;;;;;0;;;;;;;;2581;2747;2222;;;;;;;;;;;;;;;;;;;;;;
République du Congo;Production;Cuivre;;;;;;;;;;;;700;320;520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
République démocratique du Congo;Production;Cuivre;;;;;;;;;;;;;;;;;;144300;60000;40642;34958;40165;;;;;;;;;;;;;;;;;;;;;;
Cuba;Production;Cuivre;;;;;;;;;;;;3257;3461;2951;2759;2000;2000;1500;2000;2000;1858;2362;;;;;;;;;;;;;;;;;;;;;;
Chypre;Production;Cuivre;;;;;;;;;;;;559;97;383;485;472;226;;;0;0;1700;;;;;;;;;;;;;;;;;;;;;;
Slovaquie;Production;Cuivre;;;;;;;;;;;;4795;4069;3807;3709;2884;1550;1000;;;;;;;;;;;;;;;;;;;;;;;;;;
Finlande;Production;Cuivre;;;;;;;;;;;;27463;21593;18420;25107;17482;16224;15351;13657;13243;9049;9261;;;;;;;;;;;;;;;;;;;;;;
France;Production;Cuivre;;;;;;;;;;;;294;291;509;1027;483;372;;;;;;;;;;;;;;;;;;;;;;;;;;;
Géorgie;Production;Cuivre;;;;;;;;;;;;;;;;;;6000;5000;2300;5800;6900;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Cuivre;;;;;;;;;;;;11500;11112;9019;7906;3564;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Cuivre;;;;;;;;;;;;800;1500;700;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allemagne;Production;Cuivre;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grèce;Production;Cuivre;;;;;;;;;;;;300;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honduras;Production;Cuivre;;;;;;;;;;;;424;306;538;244;1388;1000;1600;1000;500;;;;;;;;;;;;;;;;;;;;;;;;
Inde;Production;Cuivre;;;;;;;;;;;;49160;54085;51463;53342;51566;50430;49036;49416;45944;46600;47800;;;;;;;;;;;;;;;;;;;;;;
Indonésie;Production;Cuivre;;;;;;;;;;;;100490;105346;126200;135035;162366;267401;369281;378000;434000;618000;525900;;;;;;;;;;;;;;;;;;;;;;
Iran;Production;Cuivre;;;;;;;;;;;;50000;40000;50700;68000;67000;89900;105000;86600;117900;102200;107600;;;;;;;;;;;;;;;;;;;;;;
Italie;Production;Cuivre;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japon;Production;Cuivre;;;;;;;;;;;;34928;23817;16666;14650;12927;12413;12074;10277;6043;2376;1145;;;;;;;;;;;;;;;;;;;;;;
Kazakhstan;Production;Cuivre;;;;;;;;;;;;;;;;;;290000;263489;215444;232600;250200;;;;;;;;;;;;;;;;;;;;;;
Corée du Sud;Production;Cuivre;;;;;;;;;;;;215;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corée du Nord;Production;Cuivre;;;;;;;;;;;;10000;12000;12000;12000;12000;14000;12000;12000;12000;10000;10000;;;;;;;;;;;;;;;;;;;;;;
Malaisie;Production;Cuivre;;;;;;;;;;;;28301;29861;22014;23565;24327;25581;28556;25182;25267;20751;20219;;;;;;;;;;;;;;;;;;;;;;
Mexique;Production;Cuivre;;;;;;;;;;;;174558;230573;268359;249328;298695;284174;279042;303989;305487;333565;340710;;;;;;;;;;;;;;;;;;;;;;
